q_Ainv,two_theta_deg,I_norm
9.350000000000000533e-01,1.316436643518698091e+01,9.114273288269574003e-02
9.399999999999999467e-01,1.323507797553549281e+01,9.758454564658428088e-02
9.450000000000000622e-01,1.330579457844381075e+01,1.041505390487017790e-01
9.499999999999999556e-01,1.337651627193663550e+01,1.108310314991430151e-01
9.550000000000000711e-01,1.344724308405653623e+01,1.176164419667069388e-01
9.599999999999999645e-01,1.351797504286401086e+01,1.244972962309173342e-01
9.650000000000000799e-01,1.358871217643763707e+01,1.314642329616897976e-01
9.699999999999999734e-01,1.365945451287412737e+01,1.385080096231865177e-01
9.750000000000000888e-01,1.373020208028848010e+01,1.456195081986219608e-01
9.799999999999999822e-01,1.380095490681405757e+01,1.527897407329629198e-01
9.849999999999999867e-01,1.387171302060270150e+01,1.600098546906858765e-01
9.899999999999999911e-01,1.394247644982484857e+01,1.672711381259414931e-01
9.949999999999999956e-01,1.401324522266960848e+01,1.745650246626937463e-01
1.000000000000000000e+00,1.408401936734490434e+01,1.818830982825925535e-01
1.004999999999999893e+00,1.415479891207755436e+01,1.892170979185504587e-01
1.010000000000000009e+00,1.422558388511340510e+01,1.965589218521948400e-01
1.015000000000000124e+00,1.429637431471739717e+01,2.039006319135679424e-01
1.020000000000000018e+00,1.436717022917370912e+01,2.112344574816551745e-01
1.024999999999999911e+00,1.443797165678586936e+01,2.185527992845222589e-01
1.030000000000000027e+00,1.450877862587682721e+01,2.258482329980381620e-01
1.035000000000000142e+00,1.457959116478908435e+01,2.331135126423692361e-01
1.040000000000000036e+00,1.465040930188480672e+01,2.403415737756255388e-01
1.044999999999999929e+00,1.472123306554592403e+01,2.475255364842369188e-01
1.050000000000000044e+00,1.479206248417424874e+01,2.546587081698314381e-01
1.055000000000000160e+00,1.486289758619156132e+01,2.617345861325874878e-01
1.060000000000000053e+00,1.493373840003974529e+01,2.687468599512203293e-01
1.064999999999999947e+00,1.500458495418088312e+01,2.756894136599538081e-01
1.070000000000000062e+00,1.507543727709737169e+01,2.825563277230157544e-01
1.075000000000000178e+00,1.514629539729202534e+01,2.893418808073802140e-01
1.080000000000000071e+00,1.521715934328818065e+01,2.960405513546667255e-01
1.084999999999999964e+00,1.528802914362983500e+01,3.026470189532819433e-01
1.089999999999999858e+00,1.535890482688171588e+01,3.091561655120640406e-01
1.094999999999999973e+00,1.542978642162942648e+01,3.155630762368724640e-01
1.100000000000000089e+00,1.550067395647953816e+01,3.218630404117261423e-01
1.104999999999999982e+00,1.557156746005968628e+01,3.280515519862692297e-01
1.109999999999999876e+00,1.564246696101873013e+01,3.341243099715007214e-01
1.114999999999999991e+00,1.571337248802681508e+01,3.400772186458654311e-01
1.120000000000000107e+00,1.578428406977550935e+01,3.459063875739626925e-01
1.125000000000000000e+00,1.585520173497789820e+01,3.516081314402791924e-01
1.129999999999999893e+00,1.592612551236871532e+01,3.571789697005018915e-01
1.135000000000000009e+00,1.599705543070445302e+01,3.626156260531067654e-01
1.140000000000000124e+00,1.606799151876345633e+01,3.679150277340649811e-01
1.145000000000000018e+00,1.613893380534603850e+01,3.730743046376419625e-01
1.149999999999999911e+00,1.620988231927463374e+01,3.780907882663923636e-01
1.155000000000000027e+00,1.628083708939384522e+01,3.829620105135838615e-01
1.160000000000000142e+00,1.635179814457061198e+01,3.876857022814032550e-01
1.165000000000000036e+00,1.642276551369429427e+01,3.922597919384194221e-01
1.169999999999999929e+00,1.649373922567679429e+01,3.966824036198831060e-01
1.175000000000000044e+00,1.656471930945267701e+01,4.009518553745575198e-01
1.180000000000000160e+00,1.663570579397927673e+01,4.050666571618737888e-01
1.185000000000000053e+00,1.670669870823679659e+01,4.090255087033051740e-01
1.189999999999999947e+00,1.677769808122846129e+01,4.128272971919457190e-01
1.195000000000000062e+00,1.684870394198061661e+01,4.164710948643649546e-01
1.200000000000000178e+00,1.691971631954280753e+01,4.199561564388987756e-01
1.205000000000000071e+00,1.699073524298794169e+01,4.232819164246102162e-01
1.209999999999999964e+00,1.706176074141239241e+01,4.264479863052280662e-01
1.214999999999999858e+00,1.713279284393609103e+01,4.294541516024381611e-01
1.219999999999999973e+00,1.720383157970269394e+01,4.323003688229671848e-01
1.225000000000000089e+00,1.727487697787962873e+01,4.349867622939532219e-01
1.229999999999999982e+00,1.734592906765826470e+01,4.375136208911528657e-01
1.234999999999999876e+00,1.741698787825402306e+01,4.398813946645790951e-01
1.239999999999999991e+00,1.748805343890647279e+01,4.420906913662077109e-01
1.245000000000000107e+00,1.755912577887944792e+01,4.441422728844274803e-01
1.250000000000000000e+00,1.763020492746119672e+01,4.460370515899400590e-01
1.254999999999999893e+00,1.770129091396447762e+01,4.477760865978429039e-01
1.260000000000000009e+00,1.777238376772666939e+01,4.493605799506518728e-01
1.265000000000000124e+00,1.784348351810989541e+01,4.507918727270324721e-01
1.270000000000000018e+00,1.791459019450115520e+01,4.520714410810274808e-01
1.274999999999999911e+00,1.798570382631242381e+01,4.532008922165687848e-01
1.280000000000000027e+00,1.805682444298079048e+01,4.541819603020671448e-01
1.285000000000000142e+00,1.812795207396856867e+01,4.550165023298711198e-01
1.290000000000000036e+00,1.819908674876339560e+01,4.557064939253759883e-01
1.294999999999999929e+00,1.827022849687839923e+01,4.562540251105539069e-01
1.300000000000000044e+00,1.834137734785226570e+01,4.566612960266592247e-01
1.305000000000000160e+00,1.841253333124940639e+01,4.569306126208387275e-01
1.310000000000000053e+00,1.848369647666003246e+01,4.570643823013557649e-01
1.314999999999999947e+00,1.855486681370031476e+01,4.570651095661021346e-01
1.320000000000000062e+00,1.862604437201249752e+01,4.569353916090385104e-01
1.325000000000000178e+00,1.869722918126500133e+01,4.566779139091664552e-01
1.330000000000000071e+00,1.876842127115253689e+01,4.562954458065898722e-01
1.334999999999999964e+00,1.883962067139628616e+01,4.557908360701781736e-01
1.339999999999999858e+00,1.891082741174395920e+01,4.551670084612918221e-01
1.344999999999999973e+00,1.898204152196994698e+01,4.544269572979748317e-01
1.350000000000000089e+00,1.905326303187543857e+01,4.535737430239615287e-01
1.354999999999999982e+00,1.912449197128853484e+01,4.526104877867818677e-01
1.359999999999999876e+00,1.919572837006440480e+01,4.515403710291829853e-01
1.364999999999999991e+00,1.926697225808537439e+01,4.503666250980152275e-01
1.370000000000000107e+00,1.933822366526105441e+01,4.490925308746596123e-01
1.375000000000000000e+00,1.940948262152847192e+01,4.477214134309949745e-01
1.379999999999999893e+00,1.948074915685221242e+01,4.462566377148262653e-01
1.385000000000000009e+00,1.955202330122451926e+01,4.447016042686109394e-01
1.390000000000000124e+00,1.962330508466541446e+01,4.430597449852390346e-01
1.395000000000000018e+00,1.969459453722285502e+01,4.413345189045286276e-01
1.399999999999999911e+00,1.976589168897282534e+01,4.395294080540157466e-01
1.405000000000000027e+00,1.983719657001949699e+01,4.376479133375167918e-01
1.410000000000000142e+00,1.990850921049531408e+01,4.356935504748529753e-01
1.415000000000000036e+00,1.997982964056115307e+01,4.336698459960242058e-01
1.419999999999999929e+00,2.005115789040643648e+01,4.315803332930216452e-01
1.425000000000000044e+00,2.012249399024926788e+01,4.294285487323680206e-01
1.430000000000000160e+00,2.019383797033654204e+01,4.272180278313674751e-01
1.435000000000000053e+00,2.026518986094409414e+01,4.249523015009457616e-01
1.439999999999999947e+00,2.033654969237680987e+01,4.226348923578498451e-01
1.445000000000000062e+00,2.040791749496876761e+01,4.202693111088739442e-01
1.450000000000000178e+00,2.047929329908335916e+01,4.178590530096617517e-01
1.455000000000000071e+00,2.055067713511342120e+01,4.154075944005304333e-01
1.459999999999999964e+00,2.062206903348136322e+01,4.129183893216435974e-01
1.464999999999999858e+00,2.069346902463929538e+01,4.103948662097550715e-01
1.469999999999999973e+00,2.076487713906917065e+01,4.078404246786228038e-01
1.475000000000000089e+00,2.083629340728289492e+01,4.052584323850852432e-01
1.479999999999999982e+00,2.090771785982248332e+01,4.026522219826725868e-01
1.484999999999999876e+00,2.097915052726014906e+01,4.000250881645100454e-01
1.489999999999999991e+00,2.105059144019848816e+01,3.973802847971592000e-01
1.495000000000000107e+00,2.112204062927057890e+01,3.947210221469208413e-01
1.500000000000000000e+00,2.119349812514010978e+01,3.920504642000099960e-01
1.505000000000000115e+00,2.126496395850152510e+01,3.893717260778978839e-01
1.510000000000000009e+00,2.133643816008016358e+01,3.866878715489999174e-01
1.515000000000000124e+00,2.140792076063237204e+01,3.840019106377696168e-01
1.520000000000000018e+00,2.147941179094565101e+01,3.813167973321485715e-01
1.524999999999999911e+00,2.155091128183878268e+01,3.786354273902030609e-01
1.530000000000000027e+00,2.162241926416196236e+01,3.759606362466672014e-01
1.534999999999999920e+00,2.169393576879695473e+01,3.732951970199967495e-01
1.540000000000000036e+00,2.176546082665719695e+01,3.706418186204266108e-01
1.544999999999999929e+00,2.183699446868795135e+01,3.680031439594141918e-01
1.550000000000000044e+00,2.190853672586644407e+01,3.653817482607369382e-01
1.554999999999999938e+00,2.198008762920198222e+01,3.627801374734089257e-01
1.560000000000000053e+00,2.205164720973611026e+01,3.602007467864659640e-01
1.564999999999999947e+00,2.212321549854273073e+01,3.576459392455705877e-01
1.570000000000000062e+00,2.219479252672825709e+01,3.551180044712735073e-01
1.574999999999999956e+00,2.226637832543173801e+01,3.526191574786750049e-01
1.580000000000000071e+00,2.233797292582498883e+01,3.501515375981173461e-01
1.584999999999999964e+00,2.240957635911274792e+01,3.477172074964479664e-01
1.590000000000000080e+00,2.248118865653280807e+01,3.453181522982883833e-01
1.594999999999999973e+00,2.255280984935614086e+01,3.429562788066515266e-01
1.600000000000000089e+00,2.262443996888706366e+01,3.406334148221520364e-01
1.604999999999999982e+00,2.269607904646333907e+01,3.383513085599662018e-01
1.610000000000000098e+00,2.276772711345636324e+01,3.361116281636016279e-01
1.614999999999999991e+00,2.283938420127124758e+01,3.339159613144556116e-01
1.620000000000000107e+00,2.291105034134702834e+01,3.317658149360487863e-01
1.625000000000000000e+00,2.298272556515674125e+01,3.296626149917424309e-01
1.630000000000000115e+00,2.305440990420760272e+01,3.276077063746614115e-01
1.635000000000000009e+00,2.312610339004114124e+01,3.256023528884722240e-01
1.640000000000000124e+00,2.319780605423333952e+01,3.236477373175820071e-01
1.645000000000000018e+00,2.326951792839475530e+01,3.217449615852577272e-01
1.650000000000000133e+00,2.334123904417071671e+01,3.198950469980874067e-01
1.655000000000000027e+00,2.341296943324139690e+01,3.180989345751427666e-01
1.659999999999999920e+00,2.348470912732202009e+01,3.163574854601299835e-01
1.665000000000000036e+00,2.355645815816296818e+01,3.146714814147593131e-01
1.669999999999999929e+00,2.362821655754992278e+01,3.130416253914974356e-01
1.675000000000000044e+00,2.369998435730403585e+01,3.114685421838132573e-01
1.679999999999999938e+00,2.377176158928204686e+01,3.099527791519711140e-01
1.685000000000000053e+00,2.384354828537645687e+01,3.084948070223723082e-01
1.689999999999999947e+00,2.391534447751564230e+01,3.070950207584000613e-01
1.695000000000000062e+00,2.398715019766402534e+01,3.057537405006717224e-01
1.699999999999999956e+00,2.405896547782220196e+01,3.044712125745634435e-01
1.705000000000000071e+00,2.413079035002711592e+01,3.032476105628282848e-01
1.709999999999999964e+00,2.420262484635217604e+01,3.020830364410929669e-01
1.715000000000000080e+00,2.427446899890741250e+01,3.009775217739820707e-01
1.719999999999999973e+00,2.434632283983962964e+01,2.999310289695885090e-01
1.725000000000000089e+00,2.441818640133257645e+01,2.989434525899775652e-01
1.729999999999999982e+00,2.449005971560703543e+01,2.980146207153876459e-01
1.735000000000000098e+00,2.456194281492104281e+01,2.971442963597658027e-01
1.739999999999999991e+00,2.463383573156997741e+01,2.963321789352572622e-01
1.745000000000000107e+00,2.470573849788674892e+01,2.955779057632481055e-01
1.750000000000000000e+00,2.477765114624194354e+01,2.948810536295486395e-01
1.755000000000000115e+00,2.484957370904396257e+01,2.942411403812897341e-01
1.760000000000000009e+00,2.492150621873916805e+01,2.936576265630966853e-01
1.765000000000000124e+00,2.499344870781207462e+01,2.931299170900987239e-01
1.770000000000000018e+00,2.506540120878543831e+01,2.926573629553283484e-01
1.775000000000000133e+00,2.513736375422048042e+01,2.922392629690621635e-01
1.780000000000000027e+00,2.520933637671697625e+01,2.918748655276588444e-01
1.784999999999999920e+00,2.528131910891343992e+01,2.915633704094520717e-01
1.790000000000000036e+00,2.535331198348729842e+01,2.913039305952634384e-01
1.794999999999999929e+00,2.542531503315499464e+01,2.910956541111104356e-01
1.800000000000000044e+00,2.549732829067219342e+01,2.909376058906951723e-01
1.804999999999999938e+00,2.556935178883389170e+01,2.908288096552750224e-01
1.810000000000000053e+00,2.564138556047461748e+01,2.907682498085309430e-01
1.814999999999999947e+00,2.571342963846855056e+01,2.907548733440711297e-01
1.820000000000000062e+00,2.578548405572970026e+01,2.907875917632268270e-01
1.824999999999999956e+00,2.585754884521206165e+01,2.908652830008205403e-01
1.830000000000000071e+00,2.592962403990974352e+01,2.909867933566144815e-01
1.834999999999999964e+00,2.600170967285718859e+01,2.911509394301728948e-01
1.840000000000000080e+00,2.607380577712925884e+01,2.913565100569037725e-01
1.844999999999999973e+00,2.614591238584144151e+01,2.916022682430752799e-01
1.850000000000000089e+00,2.621802953215001253e+01,2.918869530976392346e-01
1.854999999999999982e+00,2.629015724925214670e+01,2.922092817587256808e-01
1.860000000000000098e+00,2.636229557038614857e+01,2.925679513127154019e-01
1.864999999999999991e+00,2.643444452883154483e+01,2.929616407038315717e-01
1.870000000000000107e+00,2.650660415790929747e+01,2.933890126322367120e-01
1.875000000000000000e+00,2.657877449098193523e+01,2.938487154386623113e-01
1.880000000000000115e+00,2.665095556145372768e+01,2.943393849736428147e-01
1.885000000000000009e+00,2.672314740277084866e+01,2.948596464494723235e-01
1.890000000000000124e+00,2.679535004842153967e+01,2.954081162730488597e-01
1.895000000000000018e+00,2.686756353193625557e+01,2.959834038578201265e-01
1.900000000000000133e+00,2.693978788688786707e+01,2.965841134130953738e-01
1.905000000000000027e+00,2.701202314689178152e+01,2.972088457090371616e-01
1.909999999999999920e+00,2.708426934560613830e+01,2.978561998157019941e-01
1.915000000000000036e+00,2.715652651673197227e+01,2.985247748145495317e-01
1.919999999999999929e+00,2.722879469401334873e+01,2.992131714808960452e-01
1.925000000000000044e+00,2.730107391123759086e+01,2.999199939358434541e-01
1.929999999999999938e+00,2.737336420223536848e+01,3.006438512662695239e-01
1.935000000000000053e+00,2.744566560088094676e+01,3.013833591115240851e-01
1.939999999999999947e+00,2.751797814109228923e+01,3.021371412155326452e-01
1.945000000000000062e+00,2.759030185683125325e+01,3.029038309430673315e-01
1.949999999999999956e+00,2.766263678210377108e+01,3.036820727590031077e-01
1.955000000000000071e+00,2.773498295096000987e+01,3.044705236694393857e-01
1.959999999999999964e+00,2.780734039749451014e+01,3.052678546236230472e-01
1.965000000000000080e+00,2.787970915584642384e+01,3.060727518756723997e-01
1.969999999999999973e+00,2.795208926019961027e+01,3.068839183051600972e-01
1.975000000000000089e+00,2.802448074478288476e+01,3.077000746956749522e-01
1.979999999999999982e+00,2.809688364387011106e+01,3.085199609705417401e-01
1.985000000000000098e+00,2.816929799178043936e+01,3.093423373849414904e-01
1.989999999999999991e+00,2.824172382287844840e+01,3.101659856737322696e-01
1.995000000000000107e+00,2.831416117157433021e+01,3.109897101543349640e-01
2.000000000000000000e+00,2.838661007232403577e+01,3.118123387841057470e-01
2.004999999999999893e+00,2.845907055962951304e+01,3.126327241716805871e-01
2.009999999999999787e+00,2.853154266803881001e+01,3.134497445418343853e-01
2.015000000000000124e+00,2.860402643214631979e+01,3.142623046534595566e-01
2.020000000000000018e+00,2.867652188659288015e+01,3.150693366703266607e-01
2.025000000000000355e+00,2.874902906606602571e+01,3.158698009843509680e-01
2.030000000000000249e+00,2.882154800530010519e+01,3.166626869911437492e-01
2.035000000000000142e+00,2.889407873907651592e+01,3.174470138176894163e-01
2.040000000000000036e+00,2.896662130222383169e+01,3.182218310020429319e-01
2.044999999999999929e+00,2.903917572961803728e+01,3.189862191250019685e-01
2.049999999999999822e+00,2.911174205618262789e+01,3.197392903937615327e-01
2.054999999999999716e+00,2.918432031688887918e+01,3.204801891776158929e-01
2.060000000000000053e+00,2.925691054675596803e+01,3.212080924958256034e-01
2.064999999999999947e+00,2.932951278085116797e+01,3.219222104578212673e-01
2.070000000000000284e+00,2.940212705429006235e+01,3.226217866559695224e-01
2.075000000000000178e+00,2.947475340223666862e+01,3.233060985111748109e-01
2.080000000000000071e+00,2.954739185990367645e+01,3.239744575716452801e-01
2.084999999999999964e+00,2.962004246255261108e+01,3.246262097651970713e-01
2.089999999999999858e+00,2.969270524549400747e+01,3.252607356055214893e-01
2.094999999999999751e+00,2.976538024408761629e+01,3.258774503528858446e-01
2.100000000000000089e+00,2.983806749374257805e+01,3.264758041297852187e-01
2.104999999999999982e+00,2.991076702991759007e+01,3.270552819921063725e-01
2.110000000000000320e+00,2.998347888812114093e+01,3.276154039564104226e-01
2.115000000000000213e+00,3.005620310391165972e+01,3.281557249839789914e-01
2.120000000000000107e+00,3.012893971289771855e+01,3.286758349223153908e-01
2.125000000000000000e+00,3.020168875073822079e+01,3.291753584048262016e-01
