LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (14.3 14.3 14.3)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.003 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 46.19 | 46.22 | 46.24 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
      8600   2150           3980.2175     -26487.42       2266.076      -24221.344     -36644.686      3019.4186      2.1147874    
      8700   2175           4018.4702     -26511.489      2287.8546     -24223.634     -16982.829      3021.7173      2.1131786    
      8800   2200           4146.5815     -26579.492      2360.7928     -24218.699      28896.383      3024.0147      2.1115732    
      8900   2225           3871.2097     -26416.04       2204.0141     -24212.026     -11660.948      3026.3482      2.1099451    
      9000   2250           4180.3145     -26581.19       2379.9982     -24201.192      14928.019      3028.6801      2.1083205    
      9100   2275           3742.6672     -26314.221      2130.8304     -24183.39      -10371.587      3031.0313      2.1066851    
      9200   2300           3999.0641     -26433.045      2276.806      -24156.239      3063.8137      3033.3722      2.1050593    
      9300   2325           3929.8484     -26334.04       2237.3991     -24096.641     -903.17657      3035.7014      2.1034442    
      9400   2350           3999.505      -26290.3        2277.0571     -24013.243     -35044.108      3038.0163      2.1018414    
      9500   2375           4021.4239     -26194.064      2289.5363     -23904.527     -18275.087      3040.3132      2.1002535    
      9600   2400           4485.0864     -26349.044      2553.5154     -23795.528     -994.68631      3042.5859      2.0986847    
      9700   2425           4324.5883     -26192.006      2462.1383     -23729.868     -21866.525      3044.8749      2.097107     
      9800   2450           4224.1163     -26109.792      2404.9361     -23704.856      4076.5869      3047.1509      2.0955406    
      9900   2475           4393.4756     -26204.673      2501.3582     -23703.314     -15064.147      3049.3952      2.0939983    
     10000   2500           4370.6708     -26214.698      2488.3747     -23726.323     -46978.024      3051.6188      2.0924725    
     10100   2525           4167.4547     -26136.765      2372.6767     -23764.089     -59791.349      3053.8068      2.0909733    
     10200   2550           4158.5158     -26166.864      2367.5874     -23799.276     -45562.146      3055.9331      2.0895184    
     10300   2575           4397.1996     -26348.455      2503.4784     -23844.976      13345.849      3058.0087      2.0881002    
     10400   2600           3958.0427     -26153.15       2253.4511     -23899.699      42813.26       3060.095       2.0866766    
     10500   2625           4039.4961     -26253.59       2299.8254     -23953.764      79312.968      3062.1845      2.0852527    
     10600   2650           3979.0958     -26273.984      2265.4374     -24008.547      1225.3075      3064.2701      2.0838334    
     10700   2675           4035.4446     -26356.237      2297.5187     -24058.719     -6513.3605      3066.3449      2.0824234    
     10800   2700           4049.4214     -26402.002      2305.4762     -24096.526     -14709.121      3068.3919      2.0810342    
     10900   2725           3827.6982     -26294.66       2179.2415     -24115.418     -33274.697      3070.3932      2.0796777    
     11000   2750           3918.2719     -26353.334      2230.8082     -24122.526     -20593.093      3072.3429      2.078358     
     11100   2775           3657.6685     -26198.67       2082.4377     -24116.232     -11033.712      3074.2706      2.0770548    
     11200   2800           4230.8441     -26511.108      2408.7665     -24102.341      4705.2786      3076.1701      2.0757722    
     11300   2825           3743.8452     -26220.103      2131.501      -24088.602     -31949.12       3078.0573      2.0744995    
     11400   2850           4168.6345     -26441.178      2373.3484     -24067.83      -44051.176      3079.91        2.0732517    
     11500   2875           3941.1766     -26288.437      2243.8487     -24044.588     -40310.806      3081.7203      2.0720337    
     11600   2900           4233.9129     -26426.829      2410.5136     -24016.315     -38482.171      3083.4867      2.0708468    
     11700   2925           4181.4179     -26367.386      2380.6264     -23986.76      -3302.582       3085.2034      2.0696945    
     11800   2950           3903.2442     -26173.849      2222.2524     -23951.597     -52796.467      3086.8852      2.0685668    
     11900   2975           4229.9602     -26316.051      2408.2632     -23907.788     -25891.434      3088.5191      2.0674725    
     12000   3000           4196.3249     -26246.529      2389.1134     -23857.415     -53636.965      3090.1069      2.0664102    
     12100   3025           4170.2233     -26186.34       2374.2529     -23812.087     -7969.3014      3091.6427      2.0653837    
     12200   3050           4025.9927     -26067.515      2292.1374     -23775.377     -17677.408      3093.1283      2.0643917    
     12300   3075           4331.4675     -26204.704      2466.0549     -23738.649     -20406.719      3094.575       2.0634266    
     12400   3100           4336.2583     -26177.717      2468.7824     -23708.934     -21408.036      3095.9991      2.0624775    
     12500   3125           4049.4553     -25992.92       2305.4955     -23687.425     -32823.964      3097.3923      2.0615498    
     12600   3150           4452.1517     -26218.059      2534.7646     -23683.295     -21252.831      3098.7572      2.0606417    
     12700   3175           4265.2285     -26126.294      2428.3427     -23697.952     -42377.306      3100.0908      2.0597552    
     12800   3200           4434.081      -26254.633      2524.4762     -23730.156      16666.643      3101.3955      2.0588888    
     12900   3225           4013.6611     -26083.628      2285.1166     -23798.511     -32062.634      3102.6671      2.058045     
     13000   3250           3905.3151     -26103.903      2223.4315     -23880.472     -28966.059      3103.8845      2.0572377    
     13100   3275           3756.3206     -26106.134      2138.6037     -23967.531     -12798.669      3105.0338      2.0564763    
     13200   3300           3793.7218     -26199.675      2159.8975     -24039.778     -35152.529      3106.1304      2.0557502    
     13300   3325           4234.8492     -26508.675      2411.0467     -24097.628     -17787.113      3107.1832      2.0550537    
     13400   3350           4069.8211     -26472.271      2317.0905     -24155.181     -12824.164      3108.2209      2.0543676    
     13500   3375           3650.134      -26273.926      2078.148      -24195.778     -47087.146      3109.227       2.0537029    
     13600   3400           3782.2426     -26367.535      2153.362      -24214.172     -14593.683      3110.1741      2.0530775    
     13700   3425           3446.2898     -26174.745      1962.0925     -24212.653     -43873.574      3111.0688      2.0524871    
     13800   3450           3844.8978     -26378.628      2189.0338     -24189.595     -41806.715      3111.9011      2.0519381    
     13900   3475           3873.7793     -26354.885      2205.477      -24149.408     -49397.457      3112.6671      2.0514331    
     14000   3500           3817.0685     -26272.456      2173.1896     -24099.267      7453.6013      3113.365       2.0509733    
     14100   3525           4207.7964     -26443.287      2395.6446     -24047.642     -18114.141      3114.0229      2.05054      
     14200   3550           3860.9224     -26196.965      2198.1572     -23998.808     -30856.111      3114.6495      2.0501275    
