LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.13298298 -0.13298298 -0.13298298) to (14.432983 14.432983 14.432983)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.004 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 42.6 | 42.86 | 43.16 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
     18000   4500           2142.7833     -27620.353      1219.9609     -26400.392     -14482.958      2840.5758      2.2479345    
     18100   4525           2208.4985     -27668.733      1257.3749     -26411.358     -13499.926      2842.4906      2.2464202    
     18200   4550           2264.4264     -27705.574      1289.2165     -26416.358      25593.948      2844.3902      2.24492      
     18300   4575           2255.0643     -27698.095      1283.8864     -26414.209     -27111.546      2846.2801      2.2434294    
     18400   4600           2531.439      -27841.31       1441.2361     -26400.074     -15098.241      2848.1498      2.2419566    
     18500   4625           2348.1212     -27714.877      1336.8669     -26378.01       9244.6677      2850.0433      2.2404672    
     18600   4650           2341.0171     -27678.933      1332.8223     -26346.111     -17650.589      2851.9484      2.2389705    
     18700   4675           2102.2637     -27502.28       1196.8917     -26305.389     -14910.545      2853.8302      2.2374942    
     18800   4700           2359.3577     -27595.15       1343.2643     -26251.885     -22600.109      2855.6757      2.2360482    
     18900   4725           2304.7158     -27508.717      1312.1547     -26196.562     -23622.506      2857.4812      2.2346353    
     19000   4750           2482.6402     -27561.641      1413.4533     -26148.188     -18588.05       2859.2392      2.2332614    
     19100   4775           2575.7993     -27582.967      1466.492      -26116.475     -13479.024      2860.9932      2.2318922    
     19200   4800           2422.5388     -27479.512      1379.2355     -26100.276      302.8511       2862.7458      2.2305258    
     19300   4825           2724.5649     -27648.097      1551.1894     -26096.908     -16270.284      2864.5046      2.2291563    
     19400   4850           2374.261      -27457.81       1351.7492     -26106.061      70316.598      2866.2755      2.227779     
     19500   4875           2751.4783     -27690.446      1566.5121     -26123.934     -26141.655      2868.0585      2.226394     
     19600   4900           2304.6325     -27464.606      1312.1073     -26152.499     -2799.4999      2869.8215      2.2250263    
