q_Ainv,two_theta_deg,I_norm
1.770000000000000018e+00,2.506540120878543831e+01,2.915565757735592567e-01
1.775000000000000133e+00,2.513736375422048042e+01,2.909474848242829537e-01
1.780000000000000027e+00,2.520933637671697269e+01,2.903926022323917722e-01
1.784999999999999920e+00,2.528131910891343992e+01,2.898913083371869037e-01
1.790000000000000036e+00,2.535331198348729842e+01,2.894429343208672067e-01
1.794999999999999929e+00,2.542531503315499464e+01,2.890467638795422012e-01
1.800000000000000044e+00,2.549732829067219342e+01,2.887020349184235557e-01
1.804999999999999938e+00,2.556935178883389170e+01,2.884079412689461441e-01
1.810000000000000053e+00,2.564138556047461748e+01,2.881636344255735227e-01
1.814999999999999947e+00,2.571342963846855056e+01,2.879682253000605541e-01
1.820000000000000062e+00,2.578548405572970026e+01,2.878207859909567290e-01
1.824999999999999956e+00,2.585754884521206165e+01,2.877203515661526656e-01
1.830000000000000071e+00,2.592962403990974352e+01,2.876659218562897524e-01
1.834999999999999964e+00,2.600170967285718859e+01,2.876564632568749946e-01
1.840000000000000080e+00,2.607380577712925884e+01,2.876909105369655495e-01
1.844999999999999973e+00,2.614591238584144151e+01,2.877681686523126392e-01
1.850000000000000089e+00,2.621802953215001253e+01,2.878871145608806192e-01
1.854999999999999982e+00,2.629015724925214670e+01,2.880465990386868458e-01
1.860000000000000098e+00,2.636229557038614857e+01,2.882454484939388495e-01
1.864999999999999991e+00,2.643444452883154483e+01,2.884824667774751883e-01
1.870000000000000107e+00,2.650660415790929747e+01,2.887564369875535997e-01
1.875000000000000000e+00,2.657877449098193523e+01,2.890661232670634906e-01
1.880000000000000115e+00,2.665095556145372768e+01,2.894102725912780505e-01
1.885000000000000009e+00,2.672314740277084866e+01,2.897876165442994090e-01
1.890000000000000124e+00,2.679535004842153967e+01,2.901968730823916154e-01
1.895000000000000018e+00,2.686756353193625557e+01,2.906367482824358528e-01
1.900000000000000133e+00,2.693978788688786707e+01,2.911059380737875402e-01
1.905000000000000027e+00,2.701202314689178152e+01,2.916031299518575537e-01
1.909999999999999920e+00,2.708426934560613830e+01,2.921270046717854285e-01
1.915000000000000036e+00,2.715652651673197227e+01,2.926762379206204190e-01
1.919999999999999929e+00,2.722879469401334873e+01,2.932495019664708713e-01
1.925000000000000044e+00,2.730107391123759086e+01,2.938454672831350978e-01
1.929999999999999938e+00,2.737336420223536848e+01,2.944628041487724057e-01
1.935000000000000053e+00,2.744566560088094676e+01,2.951001842172259471e-01
1.939999999999999947e+00,2.751797814109228923e+01,2.957562820606602916e-01
1.945000000000000062e+00,2.759030185683125325e+01,2.964297766822269198e-01
1.949999999999999956e+00,2.766263678210377108e+01,2.971193529975245107e-01
1.955000000000000071e+00,2.773498295096000987e+01,2.978237032836756892e-01
1.959999999999999964e+00,2.780734039749451014e+01,2.985415285948921360e-01
1.965000000000000080e+00,2.787970915584642384e+01,2.992715401434579703e-01
1.969999999999999973e+00,2.795208926019961027e+01,3.000124606451133880e-01
1.975000000000000089e+00,2.802448074478288476e+01,3.007630256278777114e-01
1.979999999999999982e+00,2.809688364387011106e+01,3.015219847034039669e-01
1.985000000000000098e+00,2.816929799178043936e+01,3.022881028000150572e-01
1.989999999999999991e+00,2.824172382287844840e+01,3.030601613566255570e-01
1.995000000000000107e+00,2.831416117157433021e+01,3.038369594768103865e-01
2.000000000000000000e+00,2.838661007232403577e+01,3.046173150423354681e-01
2.004999999999999893e+00,2.845907055962951304e+01,3.054000657855244216e-01
2.009999999999999787e+00,2.853154266803881001e+01,3.061840703198869251e-01
2.015000000000000124e+00,2.860402643214631979e+01,3.069682091284945957e-01
2.020000000000000018e+00,2.867652188659288015e+01,3.077513855096408735e-01
2.025000000000000355e+00,2.874902906606602571e+01,3.085325264793810085e-01
2.030000000000000249e+00,2.882154800530010519e+01,3.093105836305992118e-01
2.035000000000000142e+00,2.889407873907651592e+01,3.100845339483070395e-01
2.040000000000000036e+00,2.896662130222383169e+01,3.108533805809292616e-01
2.044999999999999929e+00,2.903917572961803728e+01,3.116161535673887539e-01
2.049999999999999822e+00,2.911174205618262789e+01,3.123719105198524137e-01
2.054999999999999716e+00,2.918432031688887918e+01,3.131197372620554420e-01
2.060000000000000053e+00,2.925691054675596803e+01,3.138587484231701863e-01
2.064999999999999947e+00,2.932951278085116797e+01,3.145880879872382518e-01
2.070000000000000284e+00,2.940212705429006235e+01,3.153069297982357133e-01
2.075000000000000178e+00,2.947475340223666862e+01,3.160144780208873905e-01
2.080000000000000071e+00,2.954739185990367645e+01,3.167099675573993300e-01
2.084999999999999964e+00,2.962004246255261108e+01,3.173926644203227121e-01
2.089999999999999858e+00,2.969270524549400747e+01,3.180618660618107496e-01
2.094999999999999751e+00,2.976538024408761629e+01,3.187169016595770010e-01
2.100000000000000089e+00,2.983806749374257805e+01,3.193571323599060929e-01
2.104999999999999982e+00,2.991076702991759007e+01,3.199819514781138685e-01
2.110000000000000320e+00,2.998347888812114093e+01,3.205907846568964437e-01
2.115000000000000213e+00,3.005620310391165972e+01,3.211830899830475650e-01
2.120000000000000107e+00,3.012893971289771855e+01,3.217583580630678508e-01
2.125000000000000000e+00,3.020168875073822079e+01,3.223161120582246908e-01
2.129999999999999893e+00,3.027445025314257521e+01,3.228559076796633787e-01
2.134999999999999787e+00,3.034722425587091976e+01,3.233773331442060250e-01
2.140000000000000124e+00,3.042001079473428149e+01,3.238800090915086582e-01
2.145000000000000018e+00,3.049280990559477900e+01,3.243635884632853350e-01
2.150000000000000355e+00,3.056562162436581787e+01,3.248277563453383365e-01
2.155000000000000249e+00,3.063844598701226474e+01,3.252722297731657775e-01
2.160000000000000142e+00,3.071128302955068179e+01,3.256967575019504291e-01
2.165000000000000036e+00,3.078413278804947595e+01,3.261011197417617580e-01
2.169999999999999929e+00,3.085699529862911916e+01,3.264851278588297712e-01
2.174999999999999822e+00,3.092987059746232958e+01,3.268486240437791790e-01
2.179999999999999716e+00,3.100275872077428119e+01,3.271914809477344810e-01
2.185000000000000053e+00,3.107565970484279205e+01,3.275136012872321700e-01
2.189999999999999947e+00,3.114857358599851267e+01,3.278149174188978443e-01
2.195000000000000284e+00,3.122150040062514975e+01,3.280953908848683320e-01
2.200000000000000178e+00,3.129444018515963677e+01,3.283550119299563641e-01
2.205000000000000071e+00,3.136739297609234001e+01,3.285937989915762025e-01
2.209999999999999964e+00,3.144035880996729304e+01,3.288117981634634535e-01
2.214999999999999858e+00,3.151333772338234240e+01,3.290090826342383923e-01
2.219999999999999751e+00,3.158632975298936429e+01,3.291857521018767829e-01
2.225000000000000089e+00,3.165933493549450262e+01,3.293419321651628873e-01
2.229999999999999982e+00,3.173235330765831819e+01,3.294777736932134049e-01
2.235000000000000320e+00,3.180538490629605874e+01,3.295934521741679113e-01
2.240000000000000213e+00,3.187842976827777264e+01,3.296891670441515765e-01
2.245000000000000107e+00,3.195148793052859304e+01,3.297651409976226633e-01
2.250000000000000000e+00,3.202455943002890848e+01,3.298216192802226887e-01
2.254999999999999893e+00,3.209764430381456890e+01,3.298588689652510175e-01
2.259999999999999787e+00,3.217074258897711303e+01,3.298771782148893217e-01
2.265000000000000124e+00,3.224385432266394957e+01,3.298768555273036140e-01
2.270000000000000018e+00,3.231697954207854906e+01,3.298582289707487347e-01
2.275000000000000355e+00,3.239011828448072805e+01,3.298216454058036651e-01
2.280000000000000249e+00,3.246327058718677705e+01,3.297674696968597718e-01
2.285000000000000142e+00,3.253643648756969498e+01,3.296960839139826960e-01
2.290000000000000036e+00,3.260961602305945917e+01,3.296078865262634938e-01
2.294999999999999929e+00,3.268280923114311776e+01,3.295032915877677548e-01
2.299999999999999822e+00,3.275601614936513073e+01,3.293827279171854805e-01
2.304999999999999716e+00,3.282923681532747651e+01,3.292466382722741836e-01
2.310000000000000053e+00,3.290247126668995747e+01,3.290954785201813948e-01
2.314999999999999947e+00,3.297571954117032078e+01,3.289297168047176645e-01
2.320000000000000284e+00,3.304898167654455676e+01,3.287498327116435970e-01
2.325000000000000178e+00,3.312225771064705526e+01,3.285563164330190244e-01
2.330000000000000071e+00,3.319554768137087564e+01,3.283496679316487143e-01
2.334999999999999964e+00,3.326885162666790308e+01,3.281303961066461827e-01
2.339999999999999858e+00,3.334216958454913282e+01,3.278990179611181999e-01
2.344999999999999751e+00,3.341550159308484069e+01,3.276560577729586421e-01
2.350000000000000089e+00,3.348884769040482468e+01,3.274020462697201928e-01
2.354999999999999982e+00,3.356220791469858966e+01,3.271375198085161862e-01
2.360000000000000320e+00,3.363558230421564588e+01,3.268630195618826839e-01
2.365000000000000213e+00,3.370897089726564388e+01,3.265790907105134422e-01
2.370000000000000107e+00,3.378237373221866591e+01,3.262862816437564484e-01
2.375000000000000000e+00,3.385579084750541057e+01,3.259851431687417200e-01
2.379999999999999893e+00,3.392922228161740605e+01,3.256762277289848018e-01
2.384999999999999787e+00,3.400266807310730854e+01,3.253600886332898012e-01
2.390000000000000124e+00,3.407612826058903721e+01,3.250372792957487711e-01
2.395000000000000018e+00,3.414960288273803712e+01,3.247083524876134830e-01
2.400000000000000355e+00,3.422309197829154215e+01,3.243738596017872178e-01
2.405000000000000249e+00,3.429659558604873837e+01,3.240343499306603259e-01
2.410000000000000142e+00,3.437011374487104121e+01,3.236903699579870008e-01
2.415000000000000036e+00,3.444364649368232278e+01,3.233424626654737843e-01
2.419999999999999929e+00,3.451719387146913220e+01,3.229911668547237880e-01
2.424999999999999822e+00,3.459075591728089449e+01,3.226370164851515843e-01
